rated_power_mw,material_model,intensity_gco2_per_kwh_bottom_fixed,intensity_gco2_per_kwh_onshore,l1_manufacturing_kgco2_bottom_fixed,l1_manufacturing_kgco2_onshore,l2_transport_kgco2_bottom_fixed,l2_transport_kgco2_onshore,l3_o_and_m_kgco2_bottom_fixed,l3_o_and_m_kgco2_onshore,l4_eol_kgco2_bottom_fixed,l4_eol_kgco2_onshore,bf_minus_onshore_intensity
2.0,cfrp,19.602471631116707,18.61339488614554,2301648.952364254,1775233.9395520063,711098.2520090395,947713.1418112512,30240.000000000004,5040.000000000001,391365.8253983533,125446.35468285356,0.9890767449711682
2.0,gfrp,18.20083994762128,17.005838165057543,2047820.1700309168,1512631.5505411157,711147.0507504372,955464.2715184608,30240.000000000004,5040.000000000001,399579.9380418936,133859.168643745,1.195001782563736
2.0,rcfrp,18.274164190751904,16.860215139055754,2067322.453854495,1504606.4138998997,711108.2743104511,948607.5029313136,30240.000000000004,5040.000000000001,392962.8380547874,126417.06398603336,1.4139490516961501
2.0,rrcfrp,18.334893628971297,16.849168333508004,2075390.9954979804,1498561.1076218644,711124.3099927095,950694.3455447932,30240.000000000004,5040.000000000001,395518.058305082,128682.05236011952,1.4857252954632933
5.0,cfrp,15.418805552978322,14.012028030027802,5470851.231753176,4216501.645200849,712275.8243122238,989449.6868288668,30240.000000000004,5040.000000000001,540069.7761391047,159118.41047844014,1.4067775229505202
5.0,gfrp,14.13462927634673,12.48020443532245,4889014.218078919,3612305.499172115,712395.3957722604,991227.9784955336,30240.000000000004,5040.000000000001,559318.0091886893,174464.87216968113,1.6544248410242801
5.0,rcfrp,14.188214806652171,12.37839284689133,4928083.322229729,3588435.0281840367,712300.4002388307,989654.8743288668,30240.000000000004,5040.000000000001,543814.3628450909,160889.1560581987,1.809821959760841
5.0,rrcfrp,14.250780700723231,12.357925512404782,4949456.523620706,3575980.41172263,712339.7217214019,990133.6451622,30240.000000000004,5040.000000000001,549805.7015746688,165020.89574430208,1.8928551883184497
10.0,cfrp,13.764356520565125,12.180768760481168,10537745.19397138,8115017.227595946,714199.1453730485,1007813.4024483444,30240.000000000004,6870.583346692304,775391.9726706176,206858.04151782952,1.5835877600839563
10.0,gfrp,12.563396359658556,10.744137598027814,9448799.20601764,6980641.060689522,714434.7991164047,1011369.985781678,30240.000000000004,7503.794462946877,812061.2059268523,235866.6279541724,1.819258761630742
10.0,rcfrp,12.603051865293583,10.636705195370972,9513256.715716552,6927661.922529069,714247.6064336239,1008223.7774483444,30240.000000000004,6943.6461677986,782529.111847002,210205.1861066383,1.9663466699226113
10.0,rrcfrp,12.666891016251853,10.620724064735972,9557682.851576865,6906474.360274207,714325.1441305449,1009181.3191150113,30240.000000000004,7114.126083713293,793948.5345292169,218015.19014719216,2.0461669515158807
15.0,cfrp,13.101355951184782,11.473760965634838,15466171.0467,11903360.322672328,716096.8770367999,1026098.4423876356,30240.000000000004,10203.305673372686,1002673.79612,252294.59950531932,1.627594985549944
15.0,gfrp,11.94694267085784,10.089851602587208,13895452.8,10263834.444680916,716447.3990072,1031433.3173876356,30240.000000000004,11144.47545077441,1056142.4705,294394.642555317,1.8570910682706323
15.0,rcfrp,11.978828074641784,9.979771511948378,13980687.383913502,10180064.092008544,716168.9825708,1026714.0048876356,30240.000000000004,10311.902186149808,1013083.723595,257152.29678031907,1.999056562693406
15.0,rrcfrp,12.043368392286682,9.966149842039863,14048722.1084845,10151378.245693082,716284.3514252,1028150.3173876356,30240.000000000004,10565.294049296426,1029739.607555,268486.92375531845,2.077218550246819
