scenario,structure_type,rated_power_mw,material_model,intensity_gco2_per_kwh
baseline_ref,onshore,2.0,gfrp,19.840144525900467
baseline_ref,onshore,2.0,cfrp,21.715627367169795
baseline_ref,onshore,5.0,gfrp,14.560238507876193
baseline_ref,onshore,5.0,cfrp,16.347366035032437
baseline_ref,onshore,10.0,gfrp,12.534827197699116
baseline_ref,onshore,10.0,cfrp,14.210896887228026
baseline_ref,onshore,15.0,gfrp,11.771493536351743
baseline_ref,onshore,15.0,cfrp,13.386054459907312
baseline_ref,bottom_fixed,2.0,gfrp,18.20083994762128
baseline_ref,bottom_fixed,2.0,cfrp,19.602471631116707
baseline_ref,bottom_fixed,5.0,gfrp,14.134629276346732
baseline_ref,bottom_fixed,5.0,cfrp,15.418805552978322
baseline_ref,bottom_fixed,10.0,gfrp,12.563396359658558
baseline_ref,bottom_fixed,10.0,cfrp,13.764356520565123
baseline_ref,bottom_fixed,15.0,gfrp,11.946942670857839
baseline_ref,bottom_fixed,15.0,cfrp,13.10135595118478
baseline_ref,semisubmersible,2.0,gfrp,23.852387777019334
baseline_ref,semisubmersible,2.0,cfrp,24.987368352434746
baseline_ref,semisubmersible,5.0,gfrp,19.841240093619696
baseline_ref,semisubmersible,5.0,cfrp,20.877903500013602
baseline_ref,semisubmersible,10.0,gfrp,18.263922276857972
baseline_ref,semisubmersible,10.0,cfrp,19.213525673425536
baseline_ref,semisubmersible,15.0,gfrp,17.65281615729549
baseline_ref,semisubmersible,15.0,cfrp,18.553716535239705
baseline_ref,spar,2.0,gfrp,25.321987069381052
baseline_ref,spar,2.0,cfrp,26.89536346908508
baseline_ref,spar,5.0,gfrp,20.772105925553554
baseline_ref,spar,5.0,cfrp,22.204882967259508
baseline_ref,spar,10.0,gfrp,19.017947876695647
baseline_ref,spar,10.0,cfrp,20.34863007110874
baseline_ref,spar,15.0,gfrp,18.336465437480687
baseline_ref,spar,15.0,cfrp,19.610028093789268
baseline_ref,fawt,2.0,gfrp,21.455149833385015
baseline_ref,fawt,2.0,cfrp,21.273934196707682
baseline_ref,fawt,5.0,gfrp,17.58213991724912
baseline_ref,fawt,5.0,cfrp,17.369137032071553
baseline_ref,fawt,10.0,gfrp,16.000096811467262
