structure_type,rated_power_mw,intensity_gfrp,intensity_cfrp,delta_cfrp_minus_gfrp_gpkwh,dataset
bottom_fixed,2.0,18.20083994762128,19.602471631116707,1.4016316834954274,base
bottom_fixed,5.0,14.13462927634673,15.418805552978322,1.284176276631591,base
bottom_fixed,10.0,12.563396359658556,13.764356520565125,1.2009601609065683,base
bottom_fixed,15.0,11.94694267085784,13.101355951184782,1.154413280326942,base
fawt,2.0,21.455149833385015,21.27393419670768,-0.18121563667733653,base
fawt,5.0,17.58213991724912,17.369137032071553,-0.21300288517756627,base
fawt,10.0,16.00009681146726,15.801098398836626,-0.19899841263063323,base
fawt,15.0,15.328914070838216,15.123019744252929,-0.2058943265852875,base
onshore,2.0,19.840144525900467,21.715627367169795,1.8754828412693278,base
onshore,5.0,14.560238507876193,16.347366035032437,1.787127527156244,base
onshore,10.0,12.534827197699116,14.210896887228026,1.6760696895289104,base
onshore,15.0,11.771493536351745,13.386054459907312,1.6145609235555671,base
semisubmersible,2.0,23.852387777019334,24.987368352434743,1.1349805754154083,base
semisubmersible,5.0,19.841240093619696,20.8779035000136,1.0366634063939024,base
semisubmersible,10.0,18.263922276857972,19.213525673425536,0.9496033965675643,base
semisubmersible,15.0,17.65281615729549,18.553716535239705,0.9009003779442146,base
spar,2.0,25.321987069381056,26.895363469085076,1.5733763997040207,base
spar,5.0,20.772105925553554,22.204882967259508,1.432777041705954,base
spar,10.0,19.017947876695647,20.34863007110874,1.330682194413093,base
spar,15.0,18.336465437480687,19.61002809378927,1.2735626563085845,base
