structure_type,rated_power_mw,intensity_gfrp,intensity_cfrp,delta_cfrp_minus_gfrp_gpkwh,dataset
bottom_fixed,2.0,18.20083994762128,19.602471631116707,1.4016316834954274,fawt46
bottom_fixed,5.0,14.13462927634673,15.418805552978322,1.284176276631591,fawt46
bottom_fixed,10.0,12.563396359658556,13.764356520565125,1.2009601609065683,fawt46
bottom_fixed,15.0,11.94694267085784,13.101355951184782,1.154413280326942,fawt46
fawt,2.0,21.09783087879918,20.948897608874436,-0.14893326992474343,fawt46
fawt,5.0,17.237608548252975,17.055798525942176,-0.181810022310799,fawt46
fawt,10.0,15.667075485549027,15.49631093045475,-0.17076455509427646,fawt46
fawt,15.0,15.001192681656972,14.825057453778262,-0.17613522787871005,fawt46
onshore,2.0,19.840144525900467,21.715627367169795,1.8754828412693278,fawt46
onshore,5.0,14.560238507876193,16.347366035032437,1.787127527156244,fawt46
onshore,10.0,12.534827197699116,14.210896887228026,1.6760696895289104,fawt46
onshore,15.0,11.771493536351745,13.386054459907312,1.6145609235555671,fawt46
semisubmersible,2.0,23.852387777019334,24.987368352434743,1.1349805754154083,fawt46
semisubmersible,5.0,19.841240093619696,20.8779035000136,1.0366634063939024,fawt46
semisubmersible,10.0,18.263922276857972,19.213525673425536,0.9496033965675643,fawt46
semisubmersible,15.0,17.65281615729549,18.553716535239705,0.9009003779442146,fawt46
spar,2.0,25.321987069381056,26.895363469085076,1.5733763997040207,fawt46
spar,5.0,20.772105925553554,22.204882967259508,1.432777041705954,fawt46
spar,10.0,19.017947876695647,20.34863007110874,1.330682194413093,fawt46
spar,15.0,18.336465437480687,19.61002809378927,1.2735626563085845,fawt46
