structure_type,rated_power_mw,material_model,intensity_gco2_per_kwh_base,total_gwp_kgco2_base,intensity_gco2_per_kwh_min,total_gwp_kgco2_min,intensity_gco2_per_kwh_max,total_gwp_kgco2_max,intensity_range,intensity_range_pct_of_base,gwp_range
onshore,2.0,gfrp,19.840144525900467,2606994.9907033215,23.4605546398426,2568930.733062765,15.922217411224151,2650093.865924148,-7.538337228618447,-37.99537457389722,81163.1328613828
onshore,2.0,cfrp,21.715627367169795,2853433.436046111,25.44909488900055,2786675.89034556,17.56688287405002,2923831.985556885,-7.882212014950529,-36.297417899457265,137156.0952113252
onshore,2.0,rcfrp,19.670250995565045,2584670.9808172467,22.869865500256896,2504250.27227813,16.056369903373938,2672422.2067175577,-6.813495596882959,-34.638579845367325,168171.93443942768
onshore,2.0,rrcfrp,19.657363055759337,2582977.505526777,22.780182656752544,2494430.0009144032,16.10642031891451,2680752.59788013,-6.673762337838035,-33.95044553487409,186322.59696572693
onshore,5.0,gfrp,14.560238507876193,4783038.349837329,17.15991143133829,4697525.754328857,11.721076787210553,4877140.051158311,-5.438834644127738,-37.354021647280454,179614.29682945367
onshore,5.0,cfrp,16.347366035032437,5370109.742508155,19.065159144187803,5219087.31572141,13.28361710072198,5527313.075610416,-5.781542043465823,-35.36681096560735,308225.7598890057
onshore,5.0,rcfrp,14.44145832137322,4744019.058571102,16.66414239450455,4561808.9804956205,11.874489460843815,4940975.064657113,-4.7896529336607365,-33.165992153106146,379166.08416149206
onshore,5.0,rrcfrp,14.417579764472244,4736174.952629132,16.568528523799895,4535634.683390222,11.910243677497371,4955852.394206656,-4.658284846302523,-32.30975602286213,420217.7108164346
onshore,10.0,gfrp,12.534827197699116,8235381.468888319,14.74566024736132,8073248.985430323,10.105557874273584,8409845.262970475,-4.6401023730877355,-37.0176812165346,336596.2775401529
onshore,10.0,cfrp,14.210896887228026,9336559.254908811,16.529652764579907,9049984.8886075,11.573838519829955,9631748.41620249,-4.955814244749952,-34.873338988223644,581763.5275949892
onshore,10.0,rcfrp,12.409489394599468,8153034.53225185,14.259472626513633,7807061.263016214,10.242531896165522,8523835.043988947,-4.016940730348111,-32.36991146546496,716773.7809727332
onshore,10.0,rrcfrp,12.390844742191968,8140784.995620123,14.172976746663846,7759704.768798456,10.279976156742682,8554996.15764126,-3.8930005899211633,-31.41836308113149,795291.3888428044
onshore,15.0,gfrp,11.771493536351745,11600806.880074644,13.83773222701936,11364237.59143965,9.495481030034544,11853208.969792124,-4.342251196984817,-36.88785270599214,488971.3783524744
onshore,15.0,cfrp,13.386054459907312,13191956.670238657,15.55449616278941,12774129.973690804,10.91156357583174,13620904.81171076,-4.64293258695767,-34.68484758420607,846774.8380199559
onshore,15.0,rcfrp,11.643066763939776,11474242.295862649,13.357507781139727,10969853.265261002,9.623718012890867,12013287.195491672,-3.73378976824886,-32.06878259783698,1043433.9302306697
onshore,15.0,rrcfrp,11.627174815713174,11458580.780885331,13.2759774224805,10902896.458212111,9.66190729442794,12060958.875634398,-3.6140701280525604,-31.08296026622427,1158062.4174222872
bottom_fixed,2.0,gfrp,18.20083994762128,3188787.158823248,20.291626009049484,3110706.2671872857,16.81379344917215,3313998.6888318304,-3.477832559877335,-19.108088252442784,203292.4216445447
bottom_fixed,2.0,cfrp,19.602471631116707,3434353.029771647,21.694560071781655,3325776.059004128,18.280895275074197,3603164.458717125,-3.413664796707458,-17.414461099327145,277388.399712997
