scenario_name,structure_type,rated_power_mw,material_model,site_class,assumption_point,fawt_arm_center_share,lifetime_years,capacity_factor,component_total_mass_kg,l1_manufacturing_kgco2,l2_transport_kgco2,l3_o_and_m_kgco2,l4_eol_kgco2,l2_proxy_kgco2,l2_event_kgco2,l3_event_kgco2,l4_event_kgco2,total_gwp_kgco2,intensity_gco2_per_kwh,energy_generation_mwh,weight_cascade_iterations,weight_cascade_converged,rr_rc_net_delta_gpkwh,rr_rc_core_mass_penalty_effect_gpkwh,rr_rc_material_factor_benefit_gpkwh
matrix-onshore-2mw-gfrp,onshore,2.0,gfrp,baseline,base,,25,0.3,781392.2836147266,1512631.5505411155,955464.2715184608,5040.000000000001,133859.168643745,2344.1768508441796,955464.2715184608,5040.000000000001,133859.168643745,2606994.9907033215,19.840144525900467,131400.0,0,True,,,
matrix-onshore-2mw-cfrp,onshore,2.0,cfrp,baseline,base,,25,0.3,715633.4099232418,1775233.9395520063,947713.1418112511,5040.000000000001,125446.35468285356,2146.9002297697257,947713.1418112511,5040.000000000001,125446.35468285356,2853433.436046111,21.715627367169795,131400.0,0,True,,,
matrix-onshore-2mw-rcfrp,onshore,2.0,rcfrp,baseline,base,,25,0.3,723220.9722722595,1504606.4138998997,948607.5029313137,5040.000000000001,126417.06398603335,2169.6629168167783,948607.5029313137,5040.000000000001,126417.06398603335,2584670.9808172467,19.670250995565045,131400.0,0,True,-0.012887939805706433,0.48152401133375167,-0.49441195113945813
matrix-onshore-2mw-rrcfrp,onshore,2.0,rrcfrp,baseline,base,,25,0.3,740925.2844199669,1498561.1076218644,950694.3455447933,5040.000000000001,128682.05236011952,2222.7758532599,950694.3455447933,5040.000000000001,128682.05236011952,2582977.505526777,19.657363055759337,131400.0,0,True,-0.012887939805706433,0.48152401133375167,-0.49441195113945813
matrix-onshore-5mw-gfrp,onshore,5.0,gfrp,baseline,base,,25,0.3,1908548.1609205862,3612305.4991721148,991227.9784955335,5040.000000000001,174464.87216968113,5725.644482761759,991227.9784955335,5040.000000000001,174464.87216968113,4783038.349837329,14.560238507876191,328500.0,0,True,,,
matrix-onshore-5mw-cfrp,onshore,5.0,cfrp,baseline,base,,25,0.3,1747695.8359627358,4216501.645200849,989449.6868288667,5040.000000000001,159118.41047844014,5243.087507888207,989449.6868288667,5040.000000000001,159118.41047844014,5370109.742508155,16.347366035032437,328500.0,0,True,,,
matrix-onshore-5mw-rcfrp,onshore,5.0,rcfrp,baseline,base,,25,0.3,1766255.7196117186,3588435.0281840367,989654.8743288667,5040.000000000001,160889.1560581987,5298.767158835156,989654.8743288667,5040.000000000001,160889.1560581987,4744019.058571102,14.441458321373219,328500.0,0,True,-0.023878556900973825,0.3540866105120005,-0.3779651674129743
matrix-onshore-5mw-rrcfrp,onshore,5.0,rrcfrp,baseline,base,,25,0.3,1809562.1147926783,3575980.41172263,990133.6451622001,5040.000000000001,165020.89574430208,5428.686344378035,990133.6451622001,5040.000000000001,165020.89574430208,4736174.952629132,14.417579764472244,328500.0,0,True,-0.023878556900973825,0.3540866105120005,-0.3779651674129743
matrix-onshore-10mw-gfrp,onshore,10.0,gfrp,baseline,base,,25,0.3,3751897.2314734384,6980641.060689522,1011369.9857816779,7503.794462946877,235866.62795417238,11255.691694420315,1011369.9857816779,7503.794462946877,235866.62795417238,8235381.468888319,12.534827197699116,657000.0,0,True,,,
matrix-onshore-10mw-cfrp,onshore,10.0,cfrp,baseline,base,,25,0.3,3435291.673346152,8115017.227595946,1007813.4024483445,6870.583346692304,206858.04151782952,10305.875020038455,1007813.4024483445,6870.583346692304,206858.04151782952,9336559.254908813,14.210896887228026,657000.0,0,True,,,
