scenario,effective_cf,structure_type,rated_power_mw,material_model,intensity_gco2_per_kwh,rank
baseline,0.3,onshore,2.0,gfrp,19.840144525900467,2.0
baseline,0.3,onshore,2.0,cfrp,21.715627367169795,3.0
baseline,0.3,onshore,2.0,rcfrp,19.670250995565045,2.0
baseline,0.3,onshore,2.0,rrcfrp,19.657363055759337,2.0
baseline,0.3,onshore,5.0,gfrp,14.560238507876193,2.0
baseline,0.3,onshore,5.0,cfrp,16.347366035032437,2.0
baseline,0.3,onshore,5.0,rcfrp,14.44145832137322,2.0
baseline,0.3,onshore,5.0,rrcfrp,14.417579764472244,2.0
baseline,0.3,onshore,10.0,gfrp,12.534827197699116,1.0
baseline,0.3,onshore,10.0,cfrp,14.210896887228026,2.0
baseline,0.3,onshore,10.0,rcfrp,12.409489394599468,1.0
baseline,0.3,onshore,10.0,rrcfrp,12.390844742191968,1.0
baseline,0.3,onshore,15.0,gfrp,11.771493536351745,1.0
baseline,0.3,onshore,15.0,cfrp,13.386054459907312,2.0
baseline,0.3,onshore,15.0,rcfrp,11.643066763939776,1.0
baseline,0.3,onshore,15.0,rrcfrp,11.627174815713174,1.0
baseline,0.4,bottom_fixed,2.0,gfrp,18.20083994762128,1.0
baseline,0.4,bottom_fixed,2.0,cfrp,19.602471631116707,1.0
baseline,0.4,bottom_fixed,2.0,rcfrp,18.274164190751904,1.0
baseline,0.4,bottom_fixed,2.0,rrcfrp,18.334893628971297,1.0
baseline,0.4,bottom_fixed,5.0,gfrp,14.13462927634673,1.0
baseline,0.4,bottom_fixed,5.0,cfrp,15.418805552978322,1.0
baseline,0.4,bottom_fixed,5.0,rcfrp,14.188214806652171,1.0
baseline,0.4,bottom_fixed,5.0,rrcfrp,14.250780700723231,1.0
baseline,0.4,bottom_fixed,10.0,gfrp,12.563396359658556,2.0
baseline,0.4,bottom_fixed,10.0,cfrp,13.764356520565125,1.0
baseline,0.4,bottom_fixed,10.0,rcfrp,12.603051865293583,2.0
baseline,0.4,bottom_fixed,10.0,rrcfrp,12.666891016251853,2.0
baseline,0.4,bottom_fixed,15.0,gfrp,11.94694267085784,2.0
baseline,0.4,bottom_fixed,15.0,cfrp,13.101355951184782,1.0
baseline,0.4,bottom_fixed,15.0,rcfrp,11.978828074641784,2.0
baseline,0.4,bottom_fixed,15.0,rrcfrp,12.043368392286682,2.0
baseline,0.42,semisubmersible,2.0,gfrp,23.852387777019334,4.0
baseline,0.42,semisubmersible,2.0,cfrp,24.987368352434743,4.0
baseline,0.42,semisubmersible,2.0,rcfrp,24.036161167311317,4.0
baseline,0.42,semisubmersible,2.0,rrcfrp,24.36372705660788,4.0
baseline,0.42,semisubmersible,5.0,gfrp,19.841240093619696,4.0
baseline,0.42,semisubmersible,5.0,cfrp,20.8779035000136,4.0
baseline,0.42,semisubmersible,5.0,rcfrp,19.99996047991813,4.0
baseline,0.42,semisubmersible,5.0,rrcfrp,20.31342145529044,4.0
baseline,0.42,semisubmersible,10.0,gfrp,18.263922276857972,4.0
baseline,0.42,semisubmersible,10.0,cfrp,19.213525673425536,4.0
baseline,0.42,semisubmersible,10.0,rcfrp,18.393320947918845,4.0
baseline,0.42,semisubmersible,10.0,rrcfrp,18.70544307368587,4.0
baseline,0.42,semisubmersible,15.0,gfrp,17.65281615729549,4.0
baseline,0.42,semisubmersible,15.0,cfrp,18.553716535239705,4.0
baseline,0.42,semisubmersible,15.0,rcfrp,17.765821674510168,4.0
baseline,0.42,semisubmersible,15.0,rrcfrp,18.077179246963365,4.0
