structure_type,rated_power_mw,material_model,median_20yr,median_25yr,median_30yr,delta_20yr_pct,delta_30yr_pct
bottom_fixed,2.0,cfrp,24.48593316961447,19.62325844809176,16.38147530040996,24.78015939292474,-16.520106261949806
bottom_fixed,2.0,gfrp,22.70569679158153,18.198213425729776,15.193224515161937,24.768823512525643,-16.51254900835044
bottom_fixed,2.0,rcfrp,22.793721642517255,18.270096037428296,15.25497479971538,24.75972537758869,-16.50303989391248
bottom_fixed,2.0,rrcfrp,22.87352657526249,18.33282750963687,15.305458478324123,24.768132811148437,-16.513377599398538
bottom_fixed,5.0,cfrp,19.280390984994078,15.437874666309508,12.876197120519793,24.890189885206137,-16.59345992347077
bottom_fixed,5.0,gfrp,17.67433866543324,14.153241416327052,11.80584325025626,24.878380475049912,-16.585586983366618
bottom_fixed,5.0,rcfrp,17.73835674219809,14.20395054817617,11.84767975216156,24.88326175196201,-16.58884116797465
bottom_fixed,5.0,rrcfrp,17.818569533801046,14.268653405513689,11.902042653322116,24.87912508208798,-16.586083388058665
bottom_fixed,10.0,cfrp,17.218052827029872,13.781341150860325,11.490200033413958,24.937425454815077,-16.624950303210063
bottom_fixed,10.0,gfrp,15.693261238966851,12.561300702386124,10.473460443769147,24.933409451664396,-16.621210717616
bottom_fixed,10.0,rcfrp,15.754938370703357,12.61110170528206,10.515210595001193,24.929119904762373,-16.6194132698416
bottom_fixed,10.0,rrcfrp,15.830013130623907,12.670945836572926,10.56490097387227,24.931582336440677,-16.621054890960473
bottom_fixed,15.0,cfrp,16.392373582134496,13.118489027034416,10.935929457424344,24.956262480788,-16.637278615793946
bottom_fixed,15.0,gfrp,14.926658782442559,11.945889479925667,9.958884916425045,24.952259164341775,-16.633374742330073
bottom_fixed,15.0,rcfrp,14.96636385562122,11.977803878541375,9.985430560488144,24.95081742350071,-16.63387828233381
bottom_fixed,15.0,rrcfrp,15.050761604142782,12.045052545947359,10.041246507150412,24.953889131905154,-16.635926087936756
fawt,2.0,cfrp,25.469950186498195,20.38294409359797,16.991606698331154,24.957170414346525,-16.63811360956435
fawt,2.0,gfrp,25.68021839239704,20.55182997035638,17.132826788584055,24.953439326024807,-16.636003639110672
fawt,2.0,rcfrp,24.508462540418748,19.61456657398348,16.35196926302664,24.95031408405664,-16.633542722704416
fawt,2.0,rrcfrp,24.98304594642047,19.9934567815692,16.667064005001688,24.95611048836178,-16.63740699224118
fawt,5.0,cfrp,20.755348069315485,16.610675829595106,13.847561003114851,24.951857963153127,-16.634571975435435
fawt,5.0,gfrp,20.96225622520949,16.77689943999509,13.986661583185494,24.94714115789934,-16.631427438599545
fawt,5.0,rcfrp,19.845350923730642,15.88361649385238,13.242460207266873,24.942269485111396,-16.628179656740915
fawt,5.0,rrcfrp,20.303410777651656,16.25010017741684,13.54789311059363,24.943296078062343,-16.628864052041553
fawt,10.0,cfrp,18.846286361804747,15.083390321845869,12.574792961873282,24.947282803581153,-16.63152186905411
fawt,10.0,gfrp,19.067657040347484,15.261446050196188,12.723972056761989,24.940041576875128,-16.62669438458343
fawt,10.0,rcfrp,18.02308012963801,14.42531247504865,12.026729905413113,24.940656646519045,-16.627595234310146
fawt,10.0,rrcfrp,18.4500950229338,14.767108895339152,12.311784810276052,24.94046839972235,-16.62697893314824
fawt,15.0,cfrp,18.027082889267064,14.427821671041869,12.028314192225071,24.946671093456086,-16.631114062304064
fawt,15.0,gfrp,18.267501238484176,14.620821097153076,12.189701002932345,24.941691831802597,-16.62779455453505
fawt,15.0,rcfrp,17.22779121255951,13.788502499820208,11.495643357994005,24.94316342753064,-16.628775618353767
fawt,15.0,rrcfrp,17.6545230888581,14.130404968419585,11.78099288812724,24.93996547384635,-16.626643649230914
onshore,2.0,cfrp,26.763005184987207,21.418069530509346,17.854779094190768,24.955263343711596,-16.636842229141084
onshore,2.0,gfrp,24.49127949366182,19.600635699863552,16.339995250456866,24.95145498690287,-16.63538111383492
onshore,2.0,rcfrp,24.258147908839476,19.414143212546023,16.184806748350383,24.950906374086635,-16.63393758272445
onshore,2.0,rrcfrp,24.245250740953175,19.403410166231822,16.17568678908114,24.953554726929976,-16.634825267817916
onshore,5.0,cfrp,20.202512618624375,16.164992217761842,13.473311950520156,24.97693996057832,-16.6512933070522
onshore,5.0,gfrp,18.045741896004195,14.439695858267903,12.035665166443708,24.973143985380663,-16.648762656920447
onshore,5.0,rcfrp,17.88947245465337,14.314740303448684,11.931585535978893,24.97238563485128,-16.648257089900852
onshore,5.0,rrcfrp,17.862982132650295,14.293358079601948,11.913575792780854,24.974005640721742,-16.64956739744232
onshore,10.0,cfrp,17.60644468601407,14.087235430321137,11.741095926525851,24.98154640134886,-16.654364267565892
onshore,10.0,gfrp,15.560905480462687,12.450834243651183,10.377453419110179,24.978818093232288,-16.65254539548821
onshore,10.0,rcfrp,15.386059522267502,12.310825244652175,10.260669059575289,24.979919838852467,-16.653279892568328
onshore,10.0,rrcfrp,15.370200169822816,12.298244303166975,10.250273725396415,24.978816414183353,-16.652544276122224
onshore,15.0,cfrp,16.59068689831672,13.274555341087854,11.063800969601946,24.981112150436115,-16.654074766957404
onshore,15.0,gfrp,14.619647759842874,11.697944245296613,9.750141902265774,24.97621336946437,-16.65080891297623
onshore,15.0,rcfrp,14.458948944592183,11.569202524252432,9.6427049106926,24.977922326815506,-16.65194821787698
onshore,15.0,rrcfrp,14.44350086938175,11.556938510849484,9.632563605161305,24.97687736092395,-16.651251573949313
semisubmersible,2.0,cfrp,30.031025589563647,24.04012533070985,20.04619182480731,24.92042024090771,-16.6136134939385
semisubmersible,2.0,gfrp,28.651121521598228,22.936510949384132,19.126770567908068,24.914907872539953,-16.609938581693307
semisubmersible,2.0,rcfrp,28.88671168641246,23.12394139323603,19.282094531118407,24.921228588055904,-16.614152392037283
semisubmersible,2.0,rrcfrp,29.28332943923658,23.44197859746749,19.54774470295476,24.918335359286402,-16.612223572857612
