structure_type,rated_power_mw,material_model,parameter,prcc,abs_prcc,pvalue,n_samples
bottom_fixed,2.0,cfrp,capacity_factor,-0.99013,0.99013,0.0,10000
bottom_fixed,2.0,cfrp,eol_credit_rate,-0.9605,0.9605,0.0,10000
bottom_fixed,2.0,gfrp,capacity_factor,-0.98817,0.98817,0.0,10000
bottom_fixed,2.0,gfrp,eol_credit_rate,-0.96246,0.96246,0.0,10000
bottom_fixed,2.0,rcfrp,capacity_factor,-0.98891,0.98891,0.0,10000
bottom_fixed,2.0,rcfrp,eol_credit_rate,-0.96168,0.96168,0.0,10000
bottom_fixed,2.0,rrcfrp,capacity_factor,-0.98868,0.98868,0.0,10000
bottom_fixed,2.0,rrcfrp,eol_credit_rate,-0.96191,0.96191,0.0,10000
bottom_fixed,5.0,cfrp,capacity_factor,-0.98666,0.98666,0.0,10000
bottom_fixed,5.0,cfrp,eol_credit_rate,-0.96423,0.96423,0.0,10000
bottom_fixed,5.0,gfrp,capacity_factor,-0.9842,0.9842,0.0,10000
bottom_fixed,5.0,gfrp,eol_credit_rate,-0.96743,0.96743,0.0,10000
bottom_fixed,5.0,rcfrp,capacity_factor,-0.98501,0.98501,0.0,10000
bottom_fixed,5.0,rcfrp,eol_credit_rate,-0.96631,0.96631,0.0,10000
bottom_fixed,5.0,rrcfrp,capacity_factor,-0.98477,0.98477,0.0,10000
bottom_fixed,5.0,rrcfrp,eol_credit_rate,-0.96664,0.96664,0.0,10000
bottom_fixed,10.0,cfrp,capacity_factor,-0.98495,0.98495,0.0,10000
bottom_fixed,10.0,cfrp,eol_credit_rate,-0.9664,0.9664,0.0,10000
bottom_fixed,10.0,gfrp,capacity_factor,-0.98243,0.98243,0.0,10000
bottom_fixed,10.0,gfrp,eol_credit_rate,-0.97014,0.97014,0.0,10000
bottom_fixed,10.0,rcfrp,capacity_factor,-0.98321,0.98321,0.0,10000
bottom_fixed,10.0,rcfrp,eol_credit_rate,-0.9689,0.9689,0.0,10000
bottom_fixed,10.0,rrcfrp,capacity_factor,-0.98299,0.98299,0.0,10000
bottom_fixed,10.0,rrcfrp,eol_credit_rate,-0.96925,0.96925,0.0,10000
bottom_fixed,15.0,cfrp,capacity_factor,-0.98424,0.98424,0.0,10000
bottom_fixed,15.0,cfrp,eol_credit_rate,-0.96737,0.96737,0.0,10000
bottom_fixed,15.0,gfrp,capacity_factor,-0.98175,0.98175,0.0,10000
bottom_fixed,15.0,gfrp,eol_credit_rate,-0.97131,0.97131,0.0,10000
bottom_fixed,15.0,rcfrp,capacity_factor,-0.9825,0.9825,0.0,10000
bottom_fixed,15.0,rcfrp,eol_credit_rate,-0.97003,0.97003,0.0,10000
bottom_fixed,15.0,rrcfrp,capacity_factor,-0.98228,0.98228,0.0,10000
bottom_fixed,15.0,rrcfrp,eol_credit_rate,-0.97039,0.97039,0.0,10000
fawt,2.0,cfrp,capacity_factor,-0.98644,0.98644,0.0,10000
fawt,2.0,cfrp,eol_credit_rate,-0.97119,0.97119,0.0,10000
fawt,2.0,gfrp,capacity_factor,-0.98498,0.98498,0.0,10000
fawt,2.0,gfrp,eol_credit_rate,-0.97305,0.97305,0.0,10000
fawt,2.0,rcfrp,capacity_factor,-0.98539,0.98539,0.0,10000
fawt,2.0,rcfrp,eol_credit_rate,-0.97251,0.97251,0.0,10000
fawt,2.0,rrcfrp,capacity_factor,-0.98523,0.98523,0.0,10000
fawt,2.0,rrcfrp,eol_credit_rate,-0.97272,0.97272,0.0,10000
fawt,5.0,cfrp,capacity_factor,-0.98352,0.98352,0.0,10000
fawt,5.0,cfrp,eol_credit_rate,-0.9751,0.9751,0.0,10000
fawt,5.0,gfrp,capacity_factor,-0.98224,0.98224,0.0,10000
fawt,5.0,gfrp,eol_credit_rate,-0.97713,0.97713,0.0,10000
fawt,5.0,rcfrp,capacity_factor,-0.98247,0.98247,0.0,10000
fawt,5.0,rcfrp,eol_credit_rate,-0.97674,0.97674,0.0,10000
fawt,5.0,rrcfrp,capacity_factor,-0.98238,0.98238,0.0,10000
fawt,5.0,rrcfrp,eol_credit_rate,-0.97689,0.97689,0.0,10000
fawt,10.0,cfrp,capacity_factor,-0.98243,0.98243,0.0,10000
fawt,10.0,cfrp,eol_credit_rate,-0.97682,0.97682,0.0,10000
fawt,10.0,gfrp,capacity_factor,-0.98128,0.98128,0.0,10000
fawt,10.0,gfrp,eol_credit_rate,-0.97893,0.97893,0.0,10000
fawt,10.0,rcfrp,capacity_factor,-0.98145,0.98145,0.0,10000
fawt,10.0,rcfrp,eol_credit_rate,-0.97858,0.97858,0.0,10000
fawt,10.0,rrcfrp,capacity_factor,-0.98139,0.98139,0.0,10000
fawt,10.0,rrcfrp,eol_credit_rate,-0.97871,0.97871,0.0,10000
fawt,15.0,cfrp,capacity_factor,-0.98201,0.98201,0.0,10000
fawt,15.0,cfrp,eol_credit_rate,-0.97754,0.97754,0.0,10000
fawt,15.0,gfrp,capacity_factor,-0.98093,0.98093,0.0,10000
fawt,15.0,gfrp,eol_credit_rate,-0.97967,0.97967,0.0,10000
fawt,15.0,rcfrp,capacity_factor,-0.98108,0.98108,0.0,10000
fawt,15.0,rcfrp,eol_credit_rate,-0.97935,0.97935,0.0,10000
fawt,15.0,rrcfrp,capacity_factor,-0.98102,0.98102,0.0,10000
fawt,15.0,rrcfrp,eol_credit_rate,-0.97947,0.97947,0.0,10000
onshore,2.0,cfrp,capacity_factor,-0.99558,0.99558,0.0,10000
onshore,2.0,cfrp,eol_credit_rate,-0.96029,0.96029,0.0,10000
onshore,2.0,gfrp,capacity_factor,-0.99442,0.99442,0.0,10000
onshore,2.0,gfrp,eol_credit_rate,-0.96093,0.96093,0.0,10000
onshore,2.0,rcfrp,capacity_factor,-0.99474,0.99474,0.0,10000
onshore,2.0,rcfrp,eol_credit_rate,-0.96075,0.96075,0.0,10000
onshore,2.0,rrcfrp,capacity_factor,-0.99462,0.99462,0.0,10000
onshore,2.0,rrcfrp,eol_credit_rate,-0.96082,0.96082,0.0,10000
onshore,5.0,cfrp,capacity_factor,-0.99336,0.99336,0.0,10000
onshore,5.0,cfrp,eol_credit_rate,-0.96167,0.96167,0.0,10000
onshore,5.0,gfrp,capacity_factor,-0.99143,0.99143,0.0,10000
onshore,5.0,gfrp,eol_credit_rate,-0.96319,0.96319,0.0,10000
onshore,5.0,rcfrp,capacity_factor,-0.99188,0.99188,0.0,10000
onshore,5.0,rcfrp,eol_credit_rate,-0.96279,0.96279,0.0,10000
onshore,5.0,rrcfrp,capacity_factor,-0.99169,0.99169,0.0,10000
onshore,5.0,rrcfrp,eol_credit_rate,-0.96296,0.96296,0.0,10000
onshore,10.0,cfrp,capacity_factor,-0.99208,0.99208,0.0,10000
onshore,10.0,cfrp,eol_credit_rate,-0.96264,0.96264,0.0,10000
onshore,10.0,gfrp,capacity_factor,-0.98977,0.98977,0.0,10000
onshore,10.0,gfrp,eol_credit_rate,-0.96479,0.96479,0.0,10000
onshore,10.0,rcfrp,capacity_factor,-0.99026,0.99026,0.0,10000
onshore,10.0,rcfrp,eol_credit_rate,-0.9643,0.9643,0.0,10000
onshore,10.0,rrcfrp,capacity_factor,-0.99005,0.99005,0.0,10000
onshore,10.0,rrcfrp,eol_credit_rate,-0.96452,0.96452,0.0,10000
onshore,15.0,cfrp,capacity_factor,-0.99153,0.99153,0.0,10000
onshore,15.0,cfrp,eol_credit_rate,-0.96311,0.96311,0.0,10000
onshore,15.0,gfrp,capacity_factor,-0.98909,0.98909,0.0,10000
onshore,15.0,gfrp,eol_credit_rate,-0.96551,0.96551,0.0,10000
onshore,15.0,rcfrp,capacity_factor,-0.98957,0.98957,0.0,10000
onshore,15.0,rcfrp,eol_credit_rate,-0.96499,0.96499,0.0,10000
onshore,15.0,rrcfrp,capacity_factor,-0.98935,0.98935,0.0,10000
onshore,15.0,rrcfrp,eol_credit_rate,-0.96522,0.96522,0.0,10000
semisubmersible,2.0,cfrp,capacity_factor,-0.98786,0.98786,0.0,10000
semisubmersible,2.0,cfrp,eol_credit_rate,-0.9676,0.9676,0.0,10000
semisubmersible,2.0,gfrp,capacity_factor,-0.98616,0.98616,0.0,10000
semisubmersible,2.0,gfrp,eol_credit_rate,-0.96934,0.96934,0.0,10000
semisubmersible,2.0,rcfrp,capacity_factor,-0.98689,0.98689,0.0,10000
semisubmersible,2.0,rcfrp,eol_credit_rate,-0.96858,0.96858,0.0,10000
semisubmersible,2.0,rrcfrp,capacity_factor,-0.9867,0.9867,0.0,10000
semisubmersible,2.0,rrcfrp,eol_credit_rate,-0.96878,0.96878,0.0,10000
semisubmersible,5.0,cfrp,capacity_factor,-0.98474,0.98474,0.0,10000
semisubmersible,5.0,cfrp,eol_credit_rate,-0.97094,0.97094,0.0,10000
semisubmersible,5.0,gfrp,capacity_factor,-0.98281,0.98281,0.0,10000
semisubmersible,5.0,gfrp,eol_credit_rate,-0.9733,0.9733,0.0,10000
semisubmersible,5.0,rcfrp,capacity_factor,-0.98358,0.98358,0.0,10000
semisubmersible,5.0,rcfrp,eol_credit_rate,-0.97233,0.97233,0.0,10000
semisubmersible,5.0,rrcfrp,capacity_factor,-0.98342,0.98342,0.0,10000
semisubmersible,5.0,rrcfrp,eol_credit_rate,-0.97254,0.97254,0.0,10000
semisubmersible,10.0,cfrp,capacity_factor,-0.98328,0.98328,0.0,10000
semisubmersible,10.0,cfrp,eol_credit_rate,-0.97272,0.97272,0.0,10000
semisubmersible,10.0,gfrp,capacity_factor,-0.98139,0.98139,0.0,10000
semisubmersible,10.0,gfrp,eol_credit_rate,-0.97526,0.97526,0.0,10000
semisubmersible,10.0,rcfrp,capacity_factor,-0.98213,0.98213,0.0,10000
semisubmersible,10.0,rcfrp,eol_credit_rate,-0.97421,0.97421,0.0,10000
semisubmersible,10.0,rrcfrp,capacity_factor,-0.98199,0.98199,0.0,10000
semisubmersible,10.0,rrcfrp,eol_credit_rate,-0.9744,0.9744,0.0,10000
semisubmersible,15.0,cfrp,capacity_factor,-0.98268,0.98268,0.0,10000
semisubmersible,15.0,cfrp,eol_credit_rate,-0.97347,0.97347,0.0,10000
semisubmersible,15.0,gfrp,capacity_factor,-0.98084,0.98084,0.0,10000
semisubmersible,15.0,gfrp,eol_credit_rate,-0.9761,0.9761,0.0,10000
semisubmersible,15.0,rcfrp,capacity_factor,-0.98156,0.98156,0.0,10000
semisubmersible,15.0,rcfrp,eol_credit_rate,-0.97502,0.97502,0.0,10000
semisubmersible,15.0,rrcfrp,capacity_factor,-0.98143,0.98143,0.0,10000
semisubmersible,15.0,rrcfrp,eol_credit_rate,-0.97521,0.97521,0.0,10000
spar,2.0,cfrp,capacity_factor,-0.99381,0.99381,0.0,10000
spar,2.0,cfrp,eol_credit_rate,-0.95951,0.95951,0.0,10000
spar,2.0,gfrp,capacity_factor,-0.99279,0.99279,0.0,10000
spar,2.0,gfrp,eol_credit_rate,-0.96012,0.96012,0.0,10000
spar,2.0,rcfrp,capacity_factor,-0.99324,0.99324,0.0,10000
spar,2.0,rcfrp,eol_credit_rate,-0.95985,0.95985,0.0,10000
spar,2.0,rrcfrp,capacity_factor,-0.99316,0.99316,0.0,10000
spar,2.0,rrcfrp,eol_credit_rate,-0.9599,0.9599,0.0,10000
spar,5.0,cfrp,capacity_factor,-0.99184,0.99184,0.0,10000
spar,5.0,cfrp,eol_credit_rate,-0.96077,0.96077,0.0,10000
spar,5.0,gfrp,capacity_factor,-0.9905,0.9905,0.0,10000
spar,5.0,gfrp,eol_credit_rate,-0.96186,0.96186,0.0,10000
spar,5.0,rcfrp,capacity_factor,-0.99107,0.99107,0.0,10000
spar,5.0,rcfrp,eol_credit_rate,-0.96138,0.96138,0.0,10000
spar,5.0,rrcfrp,capacity_factor,-0.991,0.991,0.0,10000
spar,5.0,rrcfrp,eol_credit_rate,-0.96144,0.96144,0.0,10000
spar,10.0,cfrp,capacity_factor,-0.99085,0.99085,0.0,10000
spar,10.0,cfrp,eol_credit_rate,-0.96156,0.96156,0.0,10000
spar,10.0,gfrp,capacity_factor,-0.98939,0.98939,0.0,10000
spar,10.0,gfrp,eol_credit_rate,-0.96291,0.96291,0.0,10000
spar,10.0,rcfrp,capacity_factor,-0.99001,0.99001,0.0,10000
spar,10.0,rcfrp,eol_credit_rate,-0.9623,0.9623,0.0,10000
spar,10.0,rrcfrp,capacity_factor,-0.98995,0.98995,0.0,10000
spar,10.0,rrcfrp,eol_credit_rate,-0.96235,0.96235,0.0,10000
spar,15.0,cfrp,capacity_factor,-0.99044,0.99044,0.0,10000
spar,15.0,cfrp,eol_credit_rate,-0.96191,0.96191,0.0,10000
spar,15.0,gfrp,capacity_factor,-0.98894,0.98894,0.0,10000
spar,15.0,gfrp,eol_credit_rate,-0.96337,0.96337,0.0,10000
spar,15.0,rcfrp,capacity_factor,-0.98957,0.98957,0.0,10000
spar,15.0,rcfrp,eol_credit_rate,-0.96273,0.96273,0.0,10000
spar,15.0,rrcfrp,capacity_factor,-0.98952,0.98952,0.0,10000
spar,15.0,rrcfrp,eol_credit_rate,-0.96278,0.96278,0.0,10000
